"ObjType","ID","Name","Type","State // 0 = closed, 1 = open, 2 = opening, 3 = closing","DefaultY","DefaultX","DefaultZ","DefaultHeading","DefaultDoorAngle","TopSpeed1","TopSpeed2","Y","X","Z","Heading","DoorAngle","DefaultState","SelfActivated","Dependent","bTemplate","Difficulty  //pick/disarm...","AffectSlots[0]","AffectSlots[1]","AffectSlots[2]","AffectSlots[3]","AffectSlots[4]","CurrentCombination[0]","CurrentCombination[1]","CurrentCombination[2]","CurrentCombination[3]","CurrentCombination[4]","ReqCombination[0]","ReqCombination[1]","ReqCombination[2]","ReqCombination[3]","ReqCombination[4]","RandomCombo","Key","ScaleFactor // divide by 100 to get scale multiplier","SpellID","TargetID[0]","TargetID[1]","TargetID[2]","TargetID[3]","TargetID[4]","Script","TimeStamp   //last time UseSwitch","Accel","AlwaysActive","AdventureDoorID","ReturnY","ReturnX","ReturnZ","DynDoorID","bHasScript","SomeID","bUsable","bRemainOpen","bVisible","bHeadingChanged","bAllowCorpseDrag","RealEstateDoorID"
"BYTE","BYTE","CHAR","BYTE","BYTE","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","BYTE","BYTE","BYTE","bool","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","int","SHORT","int","BYTE","BYTE","BYTE","BYTE","BYTE","CHAR","DWORD","FLOAT","BYTE","int","FLOAT","FLOAT","FLOAT","int","bool","int","bool","bool","bool","bool","bool","int"
5,1,"OBJ_ELEV",59,0,-1307.988892,-1541.540894,-89.500000,0.000000,0.000000,0.000000,0.000000,-1307.988892,-1541.540894,-89.500000,0.000000,0.000000,0,31,161,false,61,87,101,63,0,0,71,0,62,238,79,186,127,2,127,191,19,-1,100,100,72,1,223,62,0,"",4628236,0.000000,43,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,2,"OBJ_ELEV",59,0,-1307.959961,-1390.322876,11.000000,0.000000,0.000000,0.000000,0.000000,-1307.959961,-1390.322876,11.000000,0.000000,0.000000,0,0,0,false,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,100,100,0,0,0,0,0,"",6138382,0.000000,117,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,3,"OBJ_GEARSB",157,0,-1316.500000,-1541.348267,-93.250000,256.000000,285.000000,-10.000000,-10.000000,-1316.500000,-1541.348267,-93.250000,256.000000,285.000000,1,2,226,false,0,0,137,56,0,0,128,63,187,32,37,61,177,202,127,63,251,-1,100,-1,251,255,127,63,0,"",266319,0.000000,22,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,4,"OBJ_GEARSB",157,0,-1299.594727,-1541.258179,-93.250000,0.000000,11.000000,-10.000000,-10.000000,-1299.594727,-1541.258179,-93.250000,0.000000,11.000000,1,32,84,false,111,112,104,121,32,105,110,99,114,101,97,115,101,115,32,121,111,-1,100,-1,108,46,32,83,112,"",266319,0.000000,60,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,5,"OBJ_GEARSB",157,1,-1316.304810,-1390.322876,6.690126,256.000000,17.000000,-10.000000,-10.000000,-1316.304810,-1390.322876,6.690126,256.000000,196.927917,1,0,130,false,175,120,176,62,0,0,0,0,235,123,166,62,220,8,249,59,0,-1,100,-1,159,216,107,191,0,"",278159,0.000000,193,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,6,"OBJ_GEARSB",157,1,-1299.427002,-1390.258301,7.040304,0.000000,438.000000,-10.000000,-10.000000,-1299.427002,-1390.258301,7.040304,0.000000,105.930954,1,0,41,false,0,0,128,63,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,100,-1,0,0,0,0,0,"",278159,0.000000,2,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,7,"OBJ_LIFT",59,0,-192.097992,-573.473938,-68.898987,128.000000,0.000000,0.000000,0.000000,-192.097992,-573.473938,-68.898987,128.000000,0.000000,0,0,0,false,61,157,218,61,60,114,161,51,235,130,2,50,0,0,128,63,0,-1,100,144,160,27,194,4,0,"",266320,0.000000,51,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,8,"OBJ_LIFT",59,0,-192.098984,-734.161438,-69.000000,384.000000,0.000000,0.000000,0.000000,-192.098984,-734.161438,-69.000000,384.000000,0.000000,0,68,148,false,217,17,124,63,0,0,195,0,215,210,173,62,155,77,235,187,85,-1,100,144,0,0,0,0,0,"",6650011,0.000000,0,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,9,"OBJ_PADDLE",157,1,340.250977,-2166.942627,-94.187996,256.000000,512.000000,2.000000,2.000000,340.250977,-2166.942627,-94.187996,256.000000,168.087372,1,12,30,false,0,0,0,0,89,231,150,49,141,173,20,49,0,0,128,63,0,-1,100,-1,0,0,128,63,0,"",278159,0.000000,210,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
