"Note","Y","X","Z","Heading","Name","LastUpdateReceivedTime (miliseconds since server update)","Time"
"CHAR","FLOAT","FLOAT","FLOAT","FLOAT","CHAR","UINT","CHAR"
"initial",-1259.054077,-2152.446289,-194.415329,100.000000,"a_canyon_snake00",2781804,"20180929 17:10:20"
"heading change",-1249.625000,-2126.375000,-192.375000,100.250000,"a_canyon_snake00",2785894,"20180929 17:10:24"
"heading change",-1236.625000,-2089.375000,-191.625000,101.250000,"a_canyon_snake00",2789948,"20180929 17:10:28"
"heading change",-1236.625000,-2089.375000,-191.625000,396.000000,"a_canyon_snake00",2839377,"20180929 17:11:17"
"heading change",-1230.750000,-2128.250000,-187.500000,397.500000,"a_canyon_snake00",2843854,"20180929 17:11:21"
"heading change",-1230.250000,-2130.250000,-187.500000,405.000000,"a_canyon_snake00",2844097,"20180929 17:11:22"
"heading change",-1230.125000,-2131.875000,-187.000000,388.750000,"a_canyon_snake00",2844226,"20180929 17:11:22"
"heading change",-1229.625000,-2143.250000,-185.875000,382.750000,"a_canyon_snake00",2845438,"20180929 17:11:23"
"heading change",-1230.125000,-2163.000000,-184.625000,368.250000,"a_canyon_snake00",2847587,"20180929 17:11:25"
"heading change",-1234.375000,-2186.750000,-186.750000,388.500000,"a_canyon_snake00",2850086,"20180929 17:11:28"
"heading change",-1234.375000,-2188.500000,-186.750000,391.250000,"a_canyon_snake00",2850486,"20180929 17:11:28"
"heading change",-1233.875000,-2190.875000,-186.875000,407.500000,"a_canyon_snake00",2850599,"20180929 17:11:28"
"heading change",-1232.375000,-2195.875000,-186.750000,409.750000,"a_canyon_snake00",2851128,"20180929 17:11:29"
"heading change",-1230.750000,-2202.500000,-186.250000,367.250000,"a_canyon_snake00",2851756,"20180929 17:11:29"
"heading change",-1231.375000,-2206.125000,-186.250000,371.250000,"a_canyon_snake00",2852384,"20180929 17:11:30"
"heading change",-1232.625000,-2215.250000,-187.375000,378.250000,"a_canyon_snake00",2853273,"20180929 17:11:31"
"heading change",-1235.250000,-2253.875000,-189.875000,380.000000,"a_canyon_snake00",2857437,"20180929 17:11:35"
"heading change",-1236.375000,-2281.000000,-191.625000,381.750000,"a_canyon_snake00",2860375,"20180929 17:11:38"
"heading change",-1236.625000,-2288.875000,-192.000000,376.750000,"a_canyon_snake00",2861295,"20180929 17:11:39"
