"ObjType","ID","Name","Type","State // 0 = closed, 1 = open, 2 = opening, 3 = closing","DefaultY","DefaultX","DefaultZ","DefaultHeading","DefaultDoorAngle","TopSpeed1","TopSpeed2","Y","X","Z","Heading","DoorAngle","DefaultState","SelfActivated","Dependent","bTemplate","Difficulty  //pick/disarm...","AffectSlots[0]","AffectSlots[1]","AffectSlots[2]","AffectSlots[3]","AffectSlots[4]","CurrentCombination[0]","CurrentCombination[1]","CurrentCombination[2]","CurrentCombination[3]","CurrentCombination[4]","ReqCombination[0]","ReqCombination[1]","ReqCombination[2]","ReqCombination[3]","ReqCombination[4]","RandomCombo","Key","ScaleFactor // divide by 100 to get scale multiplier","SpellID","TargetID[0]","TargetID[1]","TargetID[2]","TargetID[3]","TargetID[4]","Script","TimeStamp   //last time UseSwitch","Accel","AlwaysActive","AdventureDoorID","ReturnY","ReturnX","ReturnZ","DynDoorID","bHasScript","SomeID","bUsable","bRemainOpen","bVisible","bHeadingChanged","bAllowCorpseDrag","RealEstateDoorID"
"BYTE","BYTE","CHAR","BYTE","BYTE","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","BYTE","BYTE","BYTE","bool","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","int","SHORT","int","BYTE","BYTE","BYTE","BYTE","BYTE","CHAR","DWORD","FLOAT","BYTE","int","FLOAT","FLOAT","FLOAT","int","bool","int","bool","bool","bool","bool","bool","int"
5,1,"OBJ_ELEV",59,0,-1307.988892,-1541.540894,-89.500000,0.000000,0.000000,0.000000,0.000000,-1307.988892,-1541.540894,-89.500000,0.000000,0.000000,0,170,246,false,0,0,0,0,124,135,215,68,33,16,127,63,189,15,175,189,255,-1,100,100,143,236,134,57,0,"",123630,0.000000,189,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,2,"OBJ_ELEV",59,0,-1307.959961,-1390.322876,11.000000,0.000000,0.000000,0.000000,0.000000,-1307.959961,-1390.322876,11.000000,0.000000,0.000000,0,0,0,false,0,0,0,0,80,64,246,68,216,171,246,68,0,0,0,0,32,-1,100,100,0,0,0,0,101,"",123631,0.000000,250,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,3,"OBJ_GEARSB",157,1,-1316.500000,-1541.348267,-93.250000,256.000000,285.000000,-10.000000,-10.000000,-1316.500000,-1541.348267,-93.250000,256.000000,6.798447,1,171,246,false,160,27,194,4,0,0,0,0,0,0,0,0,0,0,0,0,68,-1,100,-1,195,205,127,63,176,"",132343,0.000000,155,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,4,"OBJ_GEARSB",157,1,-1299.594727,-1541.258179,-93.250000,0.000000,11.000000,-10.000000,-10.000000,-1299.594727,-1541.258179,-93.250000,0.000000,244.798004,1,0,0,false,0,0,0,0,0,0,0,0,160,27,194,4,0,0,0,0,0,-1,100,-1,0,0,0,0,100,"",132343,0.000000,108,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,5,"OBJ_GEARSB",157,1,-1316.304810,-1390.322876,6.690126,256.000000,17.000000,-10.000000,-10.000000,-1316.304810,-1390.322876,6.690126,256.000000,250.797989,1,0,128,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,-1,100,-1,36,67,246,68,0,"",132343,0.000000,154,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,6,"OBJ_GEARSB",157,1,-1299.427002,-1390.258301,7.040304,0.000000,438.000000,-10.000000,-10.000000,-1299.427002,-1390.258301,7.040304,0.000000,159.798004,1,39,9,false,36,122,73,62,0,0,128,63,0,0,0,0,0,0,0,0,0,-1,100,-1,0,0,0,0,0,"",132343,0.000000,193,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,7,"OBJ_LIFT",59,0,-192.097992,-573.473938,-68.898987,128.000000,0.000000,0.000000,0.000000,-192.097992,-573.473938,-68.898987,128.000000,0.000000,0,0,0,false,93,44,212,189,200,3,51,61,159,112,195,189,0,0,128,63,0,-1,100,144,168,175,246,68,156,"",123633,0.000000,0,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,8,"OBJ_LIFT",59,0,-192.098984,-734.161438,-69.000000,384.000000,0.000000,0.000000,0.000000,-192.098984,-734.161438,-69.000000,384.000000,0.000000,0,62,183,false,0,0,0,0,111,107,18,191,239,16,38,62,61,217,77,63,0,-1,100,144,0,0,128,63,0,"",123633,0.000000,248,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,9,"OBJ_PADDLE",157,1,340.250977,-2166.942627,-94.187996,256.000000,512.000000,2.000000,2.000000,340.250977,-2166.942627,-94.187996,256.000000,158.039215,1,18,158,false,0,0,0,0,188,15,175,61,34,16,127,63,210,92,41,48,0,-1,100,-1,0,0,0,0,11,"",132343,0.000000,252,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,10,"OBJ_ELEV_BUTTON",59,0,-1318.236084,-1531.514893,-87.000000,0.000000,0.000000,0.000000,0.000000,-1318.236084,-1531.514893,-87.000000,0.000000,0.000000,0,0,128,false,124,242,127,63,166,113,141,60,94,21,47,60,0,0,0,0,87,-1,100,1,220,97,141,60,55,"",123634,0.000000,76,0,0.000000,0.000000,0.000000,0,true,0,true,false,true,false,false,0
5,11,"OBJ_ELEV_BUTTON",59,0,-1318.314209,-1531.442627,13.000000,63.000000,0.000000,0.000000,0.000000,-1318.314209,-1531.442627,13.000000,63.000000,0.000000,0,0,0,false,245,108,224,190,132,245,99,63,231,78,250,189,0,0,0,0,86,-1,100,1,1,212,66,63,119,"",123634,0.000000,64,0,0.000000,0.000000,0.000000,0,true,0,true,false,true,false,false,0
5,12,"OBJ_ELEV_BUTTON",59,0,-1318.116211,-1380.194336,13.500000,0.000000,0.000000,0.000000,0.000000,-1318.116211,-1380.194336,13.500000,0.000000,0.000000,0,220,82,false,131,131,122,63,73,242,185,49,0,0,0,0,35,192,254,174,94,-1,100,1,103,245,85,179,96,"",123634,0.000000,0,0,0.000000,0.000000,0.000000,0,true,0,true,false,true,false,false,0
