"DropID","ZoneID","DropSubID //well zonefile id, but yeah...","Name","Expires","Heading","Pitch","Roll","Scale","Y","X","Z","Weight//-1 means it can't be picked up"
"DWORD","DWORD","DWORD","CHAR","long","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","int"
4,394,18652,"IT10805_ACTORDEF",2136002967,214.000000,0.000000,0.000000,1.000000,-1146.000000,-1606.000000,-90.174179,-1
5,394,18653,"IT10805_ACTORDEF",2136002967,83.000000,0.000000,0.000000,1.000000,-1167.000000,-1644.000000,-57.370178,-1
6,394,18654,"IT10863_ACTORDEF",2136002967,381.000000,0.000000,0.000000,1.000000,-1046.040039,-1444.609985,25.921036,-1
7,394,18655,"IT10863_ACTORDEF",2136002967,381.000000,0.000000,0.000000,1.000000,-1046.040039,-1526.069946,25.921036,-1
8,394,18656,"IT10863_ACTORDEF",2136002967,381.000000,0.000000,0.000000,1.000000,-1088.520020,-1485.520020,10.056902,-1
9,394,18657,"IT10864_ACTORDEF",2136002967,378.000000,0.000000,0.000000,1.000000,-1097.119995,-1453.689941,10.056902,-1
10,394,18658,"IT10864_ACTORDEF",2136002967,387.000000,0.000000,0.000000,1.000000,-1096.089966,-1513.349976,10.056902,-1
11,394,18659,"IT10801_ACTORDEF",2136002967,0.000000,0.000000,0.000000,1.000000,-1200.000000,-1521.000000,10.037849,-1
12,394,18660,"IT10801_ACTORDEF",2136002967,0.000000,0.000000,0.000000,1.000000,-1200.000000,-1449.000000,10.037853,-1
13,394,18661,"IT10802_ACTORDEF",2136002967,249.000000,0.000000,0.000000,1.000000,-1470.000000,-1502.000000,30.703571,-1
14,394,18662,"IT10802_ACTORDEF",2136002967,384.000000,0.000000,0.000000,1.000000,-1430.000000,-1502.000000,30.703571,-1
15,394,18663,"IT10865_ACTORDEF",2136002967,128.000000,0.000000,0.000000,1.000000,-1469.109985,-1527.140015,30.710012,-1
16,394,18664,"IT10865_ACTORDEF",2136002967,128.000000,0.000000,0.000000,1.000000,-1469.109985,-1550.380005,30.708557,-1
17,394,18665,"IT10800_ACTORDEF",2136002967,0.000000,0.000000,0.000000,1.000000,-1201.000000,-1510.000000,10.037857,-1
18,394,18666,"IT10800_ACTORDEF",2136002967,256.000000,0.000000,0.000000,1.000000,-1201.000000,-1462.000000,10.038758,-1
19,394,271747,"IT10864_ACTORDEF",2136002967,105.000000,0.000000,0.000000,1.000000,414.649994,1065.599976,-32767.996094,-1
